,carat,cut,color,clarity,depth,table,x,y,z,volume,price_predicted
0,0.91,3,3,2,63.4,57.0,6.1,6.18,3.89,146.64521999999997,2843.7454727363897
1,0.38,2,5,4,60.3,61.0,4.68,4.71,2.83,62.381124,849.3630415255478
2,0.52,5,3,4,61.8,56.0,5.19,5.16,3.2,85.69728000000002,1437.02029615497
3,1.1,5,4,5,61.3,56.0,6.65,6.69,4.09,181.957965,7339.083095915062
4,2.28,5,4,2,61.6,57.0,8.44,8.37,5.18,365.92970399999996,17455.91042347063
5,2.01,3,1,4,60.8,58.0,8.08,8.16,4.94,325.708032,12794.952139618917
6,1.06,5,4,2,62.2,57.0,6.51,6.49,4.04,170.689596,4319.043332567213
7,0.7,4,6,3,60.1,58.0,5.81,5.83,3.5,118.55304999999998,2716.6481292021263
8,0.73,4,2,4,59.7,59.0,5.94,5.81,3.51,121.135014,2446.008117385159
9,0.73,5,3,8,61.6,55.0,5.8,5.82,3.58,120.84648,3816.3023374172785
10,1.0,2,7,4,64.1,58.0,6.24,6.33,4.03,159.181776,5741.065338514986
11,0.33,5,4,6,60.1,57.0,4.48,4.51,2.7,54.55296000000001,805.255975081235
12,0.54,5,1,6,61.6,57.0,5.25,5.23,3.23,88.68772500000001,1375.0815233561261
13,0.33,5,7,4,61.9,53.0,4.49,4.46,2.77,55.470358000000004,796.6035318307171
14,0.51,1,7,4,64.4,54.0,5.06,5.03,3.25,82.71835,1509.9918203553163
15,0.51,5,6,3,62.4,55.0,5.09,5.14,3.19,83.458694,1444.9027408223076
16,0.3,2,2,3,63.2,55.0,4.25,4.29,2.7,49.22775000000001,376.9249420576088
17,2.66,2,3,2,64.3,60.0,8.71,8.65,5.58,420.40557000000007,19044.475775733452
18,0.92,4,5,3,61.8,59.0,6.21,6.25,3.85,149.428125,4204.457669374704
19,0.3,5,4,8,62.2,55.0,4.3,4.32,2.68,49.783680000000004,794.0848099698043
20,1.0,3,3,3,62.0,54.0,6.43,6.47,4.0,166.4084,4240.058934816586
21,0.34,3,5,5,61.1,57.0,4.51,4.54,2.76,56.512103999999994,806.5859286650704
22,1.01,3,5,2,62.4,58.0,6.37,6.41,3.99,162.91848300000004,4010.733522726666
23,0.87,5,5,5,62.0,55.0,6.1,6.13,3.79,141.71947,4847.058655806932
24,1.26,4,7,2,61.9,58.0,6.88,6.81,4.24,198.655872,6727.734685285266
25,0.38,4,6,5,60.2,58.0,4.66,4.71,2.82,61.89505199999999,1029.5202580158311
26,0.55,5,5,6,62.3,54.0,5.29,5.27,3.29,91.719607,2259.7073285757165
27,0.65,4,4,3,61.9,58.0,5.54,5.51,3.42,104.39686799999998,1984.1160894906152
28,0.41,4,7,6,62.2,58.0,4.8,4.78,2.98,68.37312,1427.0072417849449
29,0.7,3,2,1,63.2,59.0,5.62,5.59,3.54,111.211932,1093.1639538712186
30,1.03,3,2,5,62.9,53.0,6.45,6.5,4.07,170.63475000000003,5090.5902590360765
31,0.34,5,5,6,61.3,56.0,4.52,4.56,2.78,57.29913599999999,934.5870837871083
32,0.73,5,2,7,61.7,53.0,5.8,5.84,3.59,121.60047999999999,3197.863402090475
33,0.83,5,7,2,62.1,56.0,6.0,6.04,3.74,135.53760000000003,3168.07207489363
34,0.51,3,4,3,63.0,53.0,5.1,5.13,3.22,84.24485999999999,1247.1164708090855
35,1.06,5,6,4,61.3,57.0,6.54,6.57,4.02,172.730556,6761.751765900687
36,0.41,5,7,5,61.8,57.0,4.75,4.8,2.95,67.26,1287.9137623316346
37,1.03,5,5,4,60.4,56.0,6.59,6.56,3.97,171.624688,6243.857846871624
38,0.32,5,7,3,61.3,55.0,4.41,4.46,2.72,53.49859200000001,651.1385601733729
